Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PRODUCCIONES QUE RECOGE EL TR,,,,,,,,,,"PRODUCCIONES QUE ALQUILAMOS, DEVOLVEMOS O MANDAMOS A LOS COPRODUCTORES",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,DICIEMBRE 2025,PRODUCCION Y FECHA DE RECOGIDA,NUMERO DE CAMIONES,LUGAR DE RECOGIDA,FECHA DE LLEGADA A ARGANDA -CAMPA,FECHA DE LLEGADA A ARGANDA -NAVE,DICIEMBRE 2025,,,,DICIEMBRE 2025,PRODUCCION Y FECHA DE SALIDA DE ARGANDA- CAMPA,PRODUCCION Y FECHA DE SALIDA DE ARGANDA- NAVE,NUMERO DE CAMIONES,LUGAR DE ENVIO,DICIEMBRE 2025
,,,,,,1,,,,,,1,,,,1,,,,,1
,,,,,,2,MOSES UND PHARAON,3,MARSELLA,,,2,,,,2,,,,,2
,,,,CODIGOS DE COLORES,,3,,,,,,3,,CODIGOS DE COLORES,,3,,,,,3
,,,,FINES DE SEMANA,,4,,,,,MOSES UND PHARAON,4,,FINES DE SEMANA,,4,,,,,4
,,,,FESTIVOS,,5,,,,,,5,,FESTIVOS,,5,,,,,5
,,,,FECHA RECOGIDA,,6,,,,,,6,,FECHA DE SALIDA,,6,,,,,6
,,,,FECHA LLEGADA A ARGANDA,,7,,,,,,7,,FECHA DE SALIDA,,7,,,,,7
,,,,,,8,,,,,,8,,,,8,,,,,8
,,,,,,9,,,,,,9,,,,9,,,,,9
,,,,,,10,,,,,,10,,,,10,,,,,10
,,,,,,11,,,,,,11,,,,11,OTELLO (CONFIRMAR CON JESUS),,5,LONDRES,11
,,,,,,12,,,,,,12,,,,12,OTELLO (CONFIRMAR CON JESUS),,5,LONDRES,12
,,,,,,13,,,,,,13,,,,13,,,,,13
,,,,,,14,,,,,,14,,,,14,,,,,14
,,,,,,15,,,,,,15,,,,15,,,,,15
,,,,,,16,,,,,,16,,,,16,,,,,16
,,,,,,17,,,,,,17,,,,17,,,,,17
,,,,,,18,,,,,,18,,,,18,,,,,18
,,,,,,19,,,,,,19,,,,19,,,,,19
,,,,,,20,,,,,,20,,,,20,,,,,20
,,,,,,21,,,,,,21,,,,21,,,,,21
,,,,,,22,,,,,,22,,,,22,,,,,22
,,,,,,23,,,,,,23,,,,23,,,,,23
,,,,,,24,,,,,,24,,,,24,,,,,24
,,,,,,25,,,,,,25,,,,25,,,,,25
,,,,,,26,,,,,,26,,,,26,,,,,26
,,,,,,27,,,,,,27,,,,27,,,,,27
,,,,,,28,,,,,,28,,,,28,,,,,28
,,,,,,29,,,,,,29,,,,29,,,,,29
,,,,,,30,,,,,,30,,,,30,,,,,30
,,,,,,31,,,,,,31,,,,31,,,,,31
